,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
582,EG372_20,LD372_20,"""0550""",Box 1.26,f,CL109_20,E045_M,,E041_F120,delicata,C-23,C,23,0,ALIVE,2020/21,20/11/2020,20/11/2020,6/1/2021,,0.114,8.78,4.65,NA,0.114,NA,0.109,17.147,23.608,40.755,NA,,47,NA,NA
583,EG377_20,LG377_20,"""5040""",Box 1.25,f,CL110_20,E055_M,,E030_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,20/11/2020,20/11/2020,8/1/2021,,0.188,8.12,6.33,NA,0.188,NA,0.135,18.689,25.106,43.795,NA,"photo with LD, not LG",49,NA,NA
584,EG380_20,LD380_20,NA,NA,NA,CL111_20,E028_M,,,delicata,C-23,C,23,0,ALIVE,2020/21,22/11/2020,22/11/2020,7/1/2021,,0.169,8.39,6.08,NA,0.169,NA,0.111,17.861,24.496,42.357,NA,,46,NA,NA
585,EG381_20,LD381_20,"""0440""",Box 1.26,f,CL111_20,E028_M,,E039_F120,delicata,C-28,C,28,0,ALIVE,2020/21,22/11/2020,22/11/2020,20/12/2020,,0.2,8.89,6.32,NA,0.2,NA,0.139,18.613,28.176,46.789,NA,,28,NA,NA
586,EG384_20,LD384_20,"""0021""",Box 1.28,f,CL112_20,E022_M,,E053_F120,delicata,C-23,C,23,0,ALIVE,2020/21,22/11/2020,22/11/2020,8/1/2021,,0.16,7.97,6.02,NA,0.16,NA,0.118,18.004,22.511,40.515,NA,"Escaped 03/02, possible mix-up with LD384, LD490, LD347",47,NA,NA
587,EG385_20,LD385_20,"""5020""",Box 1.27,m,CL112_20,E022_M,,E046_F120,delicata,C-28,C,28,0,ALIVE,2020/21,22/11/2020,22/11/2020,22/12/2020,,0.16,7.98,6.02,NA,0.16,NA,0.121,19.415,25.573,44.988,NA,,30,NA,NA
588,EG388_20,LD388_20,"""0301""",Box 1.26,m,CL113_20,E025_M,,,delicata,C-28,C,28,0,ALIVE,2020/21,22/11/2020,22/11/2020,23/12/2020,,0.161,7.69,6.09,NA,0.161,NA,0.104,17.65,25.401,43.051,NA,,31,NA,NA
590,EG395_20,LD395_20,"""0030""",Box 1.26,f,CL115_20,E067_M,,E041_F120,delicata,C-28,C,28,0,ALIVE,2020/21,23/11/2020,23/11/2020,22/12/2020,,0.132,8.53,5.28,NA,0.132,NA,0.102,17.719,23.466,41.185,NA,,29,NA,NA
591,EG396_20,LD396_20,"""0403""",Box 1.25,m,CL115_20,E067_M,,E027_F120,delicata,C-23,C,23,0,ALIVE,2020/21,23/11/2020,23/11/2020,7/1/2021,,0.142,7.91,5.66,NA,0.142,NA,0.113,18.833,23.347,42.18,NA,,45,NA,NA
592,EG397_20,LG397_20,"""0055""",Box 1.26,m,CL116_20,E052_M,,E031_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,23/11/2020,23/11/2020,12/1/2021,,0.16,8.35,6.06,NA,0.16,NA,0.13,19.471,22.854,42.325,NA,,50,NA,NA
