,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
422,EG118,LG030,NA,,NA,CL45,E4,NA,,guichenoti,C-23,C,23,1,DEAD,2019/20,,5/12/2019,23/1/2020,,0.185,9.49,5.97,NA,0.185,20/1/2023,0.148,19.08,24.304,43.384,25/1/2020,found dead 25/01/20,49,2,Yes
116,EG124_20,LD124_20,,Box 1.20,,CL035_20,E021_M,,,delicata,A-28,A,28,1,DEAD,2020/21,,31/10/2020,29/11/2020,,0.156,8.97,5.82,0.132,0.132,0.153846154,0.088,16.979,19.576,36.555,2/12/2020,Not best; albumin mostly; Died after hatching2/12/20,29,3,Yes
608,EG436_20,LD436_20,,,,CL128_20,E046_M,,,delicata,C-23,C,23,1,DEAD,2020/21,29/11/2020,29/11/2020,15/1/2021,,0.135,8.45,5.39,NA,0.135,NA,0.09,17.116,21.603,38.719,18/1/2021,died 18/1/21,47,3,Yes
209,EG288_20,LD288_20,,Box 1.22,,CL086_20,E011_M,,,delicata,A-23,A,23,1,DEAD,2020/21,12/11/2020,12/11/2020,24/12/2020,,0.199,7.81,6.65,0.174,0.174,0.125628141,0.119,17.389,23.652,41.041,28/12/2020,a bit watery; baby died 28/12,42,4,Yes
271,EG394_20,LD394_20,,Box 1.22,,CL115_20,E067_M,,,delicata,A-28,A,28,1,DEAD,2020/21,23/11/2020,23/11/2020,22/12/2020,,0.136,8.05,5.52,0.116,0.116,0.147058824,0.088,17.41,22.102,39.512,28/12/2020,baby died 28/12,29,6,Yes
190,EG255_20,LG255_20,,Box 1.23,,CL075_20,E055_M,,,guichenoti,A-23,A,23,1,DEAD,2020/21,9/11/2020,9/11/2020,2/1/2021,,0.143,8.7,5.43,0.127,0.127,0.111888112,0.118,17.785,22.559,40.344,9/1/2021,died 9/1/21,54,7,Yes
478,EG129_20,LD129_20,,Box 1.22,,CL036_20,E029_M,,,delicata,C-23,C,23,1,DEAD,2020/21,2/11/2020,2/11/2020,21/12/2020,,0.168,8.92,5.98,NA,0.168,NA,0.131,18.99,25.421,44.411,28/12/2020,perfect yolk exttaction; baby died 28/12,49,7,Yes
237,EG337_20,LD337_20,,Box 1.23,,CL098_20,E067_M,,,delicata,A-23,A,23,1,DEAD,2020/21,16/11/2020,16/11/2020,2/1/2021,,0.112,8.53,4.9,0.098,0.098,0.125,0.096,18.116,20.984,39.1,10/1/2021,Died 10/01/21,47,8,Yes
171,EG221_20,LG221_20,,Box 1.23,,CL064_20,E050_M,,,guichenoti,A-23,A,23,1,DEAD,2020/21,7/11/2020,7/11/2020,3/1/2021,,0.163,9.11,5.58,0.145,0.145,0.110429448,0.133,NA,NA,NA,13/1/2021,"died 13/1/21, the cloacal scales is invisible",57,10,Yes
133,EG152_20,LD152_20,"""0220""",Box 1.22,m,CL045_20,E030_M,,,delicata,A-28,A,28,1,DEAD,2020/21,4/11/2020,4/11/2020,2/12/2020,,0.123,8.2,5.17,0.108,0.108,0.12195122,0.098,17.214,21.569,38.783,16/12/2020,"perfect yolk exttaction, died 16.12.20",28,14,Yes
495,EG168_20,LD168_20,,Box 1.22,,CL049_20,E031_M,,,delicata,C-28,C,28,1,DEAD,2020/21,4/11/2020,4/11/2020,2/12/2020,,0.137,7.72,5.74,NA,0.137,NA,0.102,16.044,23.325,39.369,16/12/2020,died 16.12.20,28,14,Yes
465,EG089_20,LG089_20,"""4032""",Box 1.23,,CL026_20,E055_M,NA,E011_F120,guichenoti,C-23,C,23,1,DEAD,2020/21,,29/10/2020,21/12/2020,,0.126,9.79,4.98,NA,0.126,NA,0.17,20.186,28.755,48.941,6/1/2021,"maybe a different clutch; very dehydrates, probably same clutch as EG088; died 6/1/20",53,16,Yes
569,EG339_20,LG339_20,"""5020""",Box 1.23,"""5000""",CL099_20,E056_M,,E055_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,16/11/2020,16/11/2020,4/1/2021,,0.25,9.14,7.14,NA,0.25,NA,0.181,21.565,28.366,49.931,24/1/2021,lost tail 24/01,49,20,Yes
233,EG329_20,LG329_20,,Box 1.23,,CL096_20,E053_M,,,guichenoti,A-28,A,28,1,DEAD,2020/21,16/11/2020,16/11/2020,18/12/2020,,0.164,8.96,5.56,0.143,0.143,0.12804878,0.087,17.217,17.068,34.285,11/1/2021,"die 11/01/2021, tissue Box 1.23",32,24,Yes
245,EG352_20,LD352_20,,Box 1.23,,CL102_20,E016_M,,,delicata,A-28,A,28,1,DEAD,2020/21,17/11/2020,17/11/2020,17/12/2020,,0.116,7.91,5.29,0.097,0.097,0.163793103,0.076,16.562,19.415,35.977,12/1/2021,Died as baby 12/1/21,30,26,Yes
61,EG040_20,LG040_20,NA,Box 1.22,,CL013_20,E001_M,NA,,guichenoti,A-28,A,28,1,DEAD,2020/21,,20/10/2020,19/11/2020,,0.157,8.34,5.92,0.131,0.131,0.165605096,0.103,18.295,25.098,43.393,18/12/2020,Died 18/12/20,30,29,Yes
564,EG326_20,LG326_20,,,,CL096_20,E053_M,NA,,guichenoti,C-28,C,28,1,DEAD,2020/21,16/11/2020,16/11/2020,19/12/2020,,0.158,8.42,5.87,NA,0.158,NA,0.133,18.904,NA,NA,20/1/2021,"died 20/1/21, tail tip is invisible",33,32,Yes
589,EG392_20,LD392_20,,Box 1.23,,CL114_20,E067_M,NA,,delicata,C-28,C,28,1,DEAD,2020/21,23/11/2020,23/11/2020,19/12/2020,,0.146,8.38,5.73,NA,0.146,NA,0.089,16.315,22.823,39.138,20/1/2021,Died by accident before behaviour started. Died 20/1/21,26,32,Yes
292,EG430_20,LD430_20,NA,Box 1.23,,CL127_20,E023_M,,NA,delicata,A-28,A,28,1,DEAD,2020/21,27/11/2020,27/11/2020,26/12/2020,,0.09,7.62,5.9,0.132,0.132,0.11409396,NA,17.521,21.117,38.638,5/2/2021,died 5/2/21; seemed perfecty fine. No accidents ,29,41,Yes
612,EG451_20,LD451_20,NA,Box 1.25,,CL134_20,E026_M,,NA,delicata,C-23,C,23,1,DEAD,2020/21,30/11/2020,30/11/2020,19/1/2021,,0.172,8.56,5.76,NA,0.172,NA,0.14,18.366,27.139,45.505,18/3/2021,died 18/3/21,50,58,Yes
412,EG004,LD572,NA,,NA,CL001,E13,NA,,delicata,C-28,C,28,1,DEAD,2019/20,,11/11/2019,12/12/2019,,0.099,8.11,4.96,NA,0.099,19/12/2012,0.071,16.676,20.907,37.583,17/2/2020,bump on head; Died  (17/2/20),31,67,Yes
500,EG180_20,LD180_20,NA,Box 1.23,,CL052_20,E048_M,NA,NA,delicata,C-28,C,28,1,DEAD,2020/21,5/11/2020,5/11/2020,4/12/2020,,0.098,7.83,4.82,NA,0.098,NA,0.088,16.981,24.79,41.771,13/2/2021,"Died 13/2/21. Probably just fluke as stuck to tape for behaviour trials, but was fine",29,71,Yes
156,EG196_20,LG196_20,NA,NA,f,CL056_20,E003_M,NA,NA,guichenoti,A-28,A,28,1,DEAD,2020/21,6/11/2020,6/11/2020,10/12/2020,,0.186,9.44,5.78,0.163,0.163,0.123655914,0.136,19.147,26.281,45.428,3/5/2021,died 3/05/22,34,144,Yes
105,EG109_20,LG109_20,"""3020""",Box 1.24,,CL030_20,E051_M,,E015_F120,guichenoti,A-23,A,23,1,DEAD,2020/21,,31/10/2020,23/12/2020,,0.155,9.85,5.43,0.14,0.14,0.096774194,0.152,19.588,24.931,44.519,18/8/2021,"perfect yolk exttaction, died 18/8/21",53,238,Yes
7,EG158,LG019,"""320(345)""",Box 1.21,m,CL59,E10,E006_M,E002_M,guichenoti,A-28,A,28,1,DEAD,2019/20,,17/12/2019,15/1/2020,,0.226,9.08,6.46,0.205,0.205,20/1/2015,0.158,21.465,29.023,50.488,6/12/2020,"mostly water removed, died 6.12.20",29,326,Yes
270,EG393_20,LD393_20,,,,CL115_20,E067_M,,,delicata,A-23,A,23,1,DEAD,2020/21,23/11/2020,23/11/2020,6/1/2021,,0.144,8.05,5.61,0.124,0.124,0.138888889,0.085,17.058,20.55,37.608,22/12/2021,died 22/12/21,44,350,Yes
609,EG440_20,LD440_20,NA,,NA,CL129_20,E049_M,NA,NA,delicata,C-28,C,28,1,DEAD,2020/21,29/11/2020,29/11/2020,28/12/2020,,0.123,7.67,5.52,NA,0.123,NA,0.087,NA,NA,NA,8/3/2022,died 8/03/2022,29,435,NA
347,EG529_20,LD529_20,"""0404""",Box 1.27,m,CL155_20,E031_M,,,delicata,A-28,A,28,1,DEAD,2020/21,7/12/2020,7/12/2020,4/1/2021,,0.148,8.39,6.04,0.131,0.131,0.114864865,0.096,18.027,20.921,38.948,19/9/2022,bit watery; euthanized for brains 19/09/2022,28,623,NA
348,EG530_20,LD530_20,"""2002""",Box 1.27,m,CL155_20,E031_M,,,delicata,A-28,A,28,1,DEAD,2020/21,7/12/2020,7/12/2020,5/1/2021,,0.147,7.64,6.03,0.128,0.128,0.129251701,0.09,18.365,23.032,41.397,23/9/2022,Euthanised for brain 23/09/2022,29,626,NA
342,EG520_20,LD520_20,"""0310""",Box 1.27,m,CL152_20,E019_M,,,delicata,A-28,A,28,1,DEAD,2020/21,7/12/2020,7/12/2020,6/1/2021,,0.137,8.76,5.61,0.124,0.124,0.094890511,0.102,18.552,24.928,43.48,26/9/2022,watery; euthanized for brains 26/09/2022,30,628,NA
623,EG477_20,LD477_20,"""0205""",Box 1.27,m,CL141_20,E021_M,,,delicata,C-28,C,28,1,DEAD,2020/21,4/12/2020,4/12/2020,31/12/2020,,0.174,7.99,6.41,NA,0.174,NA,0.105,17.931,22.277,40.208,27/9/2022,Euthanized for brain 27/09/2022,27,635,NA
162,EG206_20,LD206_20,"""0102""",Box 1.27,m,CL059_20,E012_M*,,,delicata,A-23,A,23,1,DEAD,2020/21,6/11/2020,6/11/2020,24/12/2020,,0.14,8.74,5.5,0.119,0.119,0.15,0.101,18.39,23.964,42.354,23/9/2022,Euthanised for brain 23/09/2022,48,638,NA
60,EG037_20,LD037_20,"""5403""",Box 1.23,,CL012_20,E016_M,NA,E007_F120,delicata,A-23,A,23,1,DEAD,2020/21,,20/10/2020,8/12/2020,,0.131,8.88,5.35,0.116,0.116,0.114503817,0.097,18.083,20.54,38.623,17/10/2022,Dead 17/10/2022,49,678,NA
383,EG106,LG007,"""0300""",Box 1.21,f,CL41,E10,E001_M,,guichenoti,C-28,C,28,1,DEAD,2019/20,,1/12/2019,1/1/2020,,0.17,8.54,5.96,NA,0.17,20/1/2001,0.137,18.2,27.632,45.832,10/11/2021,Died 10/11/21,31,679,NA
56,EG030_20,LG030_20,"""3303",Box 1.23,,CL010_20,E004_M,NA,E006_F120,guichenoti,A-23,A,23,1,DEAD,2020/21,,18/10/2020,3/12/2020,,0.26,9.95,6.99,0.243,0.243,0.065384615,0.17,21.017,25.047,46.064,18/10/2022,a bit watery; dead 18/10/22,46,684,NA
195,EG264_20,LD264_20,"""0(24)41""",Box 1.25,f,CL078_20,E012_M,,E025_F120,delicata,A-28,A,28,0,DEAD,2020/21,10/11/2020,10/11/2020,11/12/2020,,0.167,9.41,5.67,0.145,0.145,0.131736527,0.118,18.337,23.742,42.079,25/11/2022,,31,714,NA
467,EG096_20,LD096_20,"""1001""",Box 1.27,f,CL028_20,E010_M,NA,E049_F120,delicata,C-23,C,23,1,DEAD,2020/21,,29/10/2020,18/12/2020,,0.131,8.54,5.45,NA,0.131,NA,0.113,17.584,23.286,40.87,26/12/2022,,50,738,NA
163,EG207_20,LD207_20,"""3000""",Box 1.26,f,CL059_20,E012_M,,E040_F120,delicata,A-28,A,28,1,DEAD,2020/21,6/11/2020,6/11/2020,5/12/2020,,0.13,8.15,5.32,0.114,0.114,0.123076923,0.096,18.124,24.268,42.392,16/12/2022,,29,741,NA
38,EG030,LD574,"""3500""",Box 1.21,m,CL018,E7,E009_M,E009_M,delicata,A-28,A,28,1,DEAD,2019/20,,20/11/2019,17/12/2019,,0.131,8.14,5.21,0.115,0.115,19/12/2017,0.101,17.732,24.496,42.228,18/10/2022,dead 18/10/2022,27,1036,NA
1,EG034,LG032,"""3400""",Box 1.21,f,CL019,E12,E006_M,E002_M,guichenoti,A-23,A,23,0,ALIVE,2019/20,,22/11/2019,13/1/2020,13/1/2020,0.163,9.46,5.66,0.144,0.144,20/1/2013,0.133,NA,NA,NA,NA,"eggs stuck together; Re-did length photograph on 15.01.20 (wasn't done properly first time). LD613 and LD614 are guichenoitii, changed on 27/1/20. - look for 8841",52,NA,NA
2,EG141,LG029,"""3222""",Box 1.20,f,CL53,E13,E008_M,,delicata,A-23,A,23,0,ALIVE,2019/20,,8/12/2019,22/1/2020,,0.132,7.91,5.56,0.112,0.112,20/1/2023,0.058,15.942,19.662,35.604,NA,"all yolk; perfect; photo and body mass measurements taken 1 dph, because hatchling escaped into scales",45,NA,NA
3,EG109,LG027,"""(23)(34)13""",Box 1.21,m,CL42,E1,E005_M,E004_M,guichenoti,A-23,A,23,0,ALIVE,2019/20,,1/12/2019,21/1/2020,,0.169,8.83,5.97,0.138,0.138,20/1/2021,0.11,16.018,21.366,37.384,NA,good one; yolk,51,NA,NA
4,EG054,LD603,NA,,NA,CL026,E6,NA,,delicata,A-23,A,23,1,DEAD,2019/20,,24/11/2019,9/1/2020,,0.111,8.52,4.61,0.089,0.089,20/1/2009,0.069,15.603,18.772,34.375,NA,eggs stuck together,46,NA,NA
5,EG110,LD589,NA,,NA,CL43,E6,NA,,delicata,A-23,A,23,1,DEAD,2019/20,,1/12/2019,1/1/2020,,0.121,7.56,5.47,0.097,0.097,20/1/2001,0.099,17.87,24.739,42.609,NA,good one; yolk,31,NA,NA
6,EG175,LD639,NA,,NA,CL66,E59,NA,,delicata,A-23,A,23,1,DEAD,2019/20,,9/1/2020,22/2/2020,,0.115,7.74,5.03,0.091,0.091,NA,NA,16.159,19.306,35.465,NA,same tub but three separate clutches by the looks of it;died within incubation tub - most likely due to not enough moisutre,44,NA,NA
8,EG134,LG014,"""2020""",Box 1.21,f,CL51,E10,E005_M,E003_M/E005_M,guichenoti,A-28,A,28,0,ALIVE,2019/20,,8/12/2019,9/1/2020,,0.184,8.68,6.39,0.156,0.156,20/1/2009,0.119,18.607,27.416,46.023,NA,,32,NA,NA
9,EG112,LD590,NA,,,CL43,E6,NA,,delicata,A-28,A,28,1,DEAD,2019/20,,1/12/2019,1/1/2020,,0.115,8.07,5.06,0.1,0.1,20/1/2001,0.067,15.478,21.204,36.682,NA,good one; yolk,31,NA,NA
10,EG005,LG008,"""5400""",Box 1.21,m,CL002,E4,E005_M,E003_M/E005_M,guichenoti,A-23,A,23,0,ALIVE,2019/20,,11/11/2019,1/1/2020,,0.124,8.1,5.46,0.103,0.103,20/1/2001,0.096,17.034,19.948,36.982,NA,,51,NA,NA
11,EG085,LG006,"""1041""",Box 1.21,m,CL36,E1,E006_M,E002_M,guichenoti,A-28,A,28,0,ALIVE,2019/20,,26/11/2019,29/12/2019,,0.24,10.54,5.97,0.204,0.204,19/12/2029,0.182,19.898,25.048,44.946,NA,,33,NA,NA
12,EG009,LG001,"""5100""",Box 1.21,f,CL006,E11,E005_M,E003_M/E005_M,guichenoti,A-28,A,28,0,ALIVE,2019/20,,15/11/2019,19/12/2019,,0.179,NA,NA,0.144,0.144,19/12/2019,0.12,NA,NA,NA,NA,Ablated but mostly water it appears,34,NA,NA
13,EG186,LD650,"""2001""",Box 1.21,f,CL69,E71,NA,,delicata,A-23,A,23,0,ALIVE,2019/20,,7/2/2020,23/3/2020,,0.125,8.43,4.93,0.097,0.097,20/3/2023,0.091,18.479,21.196,NA,NA,,45,NA,NA
14,EG185,LD647,"""2003""",Box 1.21,f,CL69,E71,E011_M,,delicata,A-28,A,28,0,ALIVE,2019/20,,7/2/2020,6/3/2020,,0.125,8.31,5.14,0.115,0.115,20/3/2006,0.107,17.294,22.986,37.879,NA,,28,NA,NA
15,EG190,LD646,"""5(34)(234)0""",Box 1.21,m,CL70,E13,E010_M,E010_M,delicata,A-28,A,28,0,ALIVE,2019/20,,7/2/2020,7/3/2020,,0.12,8.28,5.28,0.102,0.102,20/3/2007,0.085,18.874,24.173,52.576,NA,,29,NA,NA
16,EG180,LD645,"""(23)(34)35""",Box 1.21,m,CL67,E50,E009_M,E009_M,delicata,A-23,A,23,0,ALIVE,2019/20,,15/1/2020,2/3/2020,,0.122,7.95,5.43,0.11,0.11,20/3/2002,0.113,17.044,20.832,37.876,NA,,47,NA,NA
17,EG163,LD642,"""4330""",Box 1.21,f,CL63,E50,E009_M,E009_M,delicata,A-23,A,23,0,ALIVE,2019/20,,9/1/2020,25/2/2020,,0.129,7.68,5.75,0.098,0.098,20/2/2025,0.099,16.8,21.14,37.94,NA,,47,NA,NA
18,EG170,LD640,"""2333""",Box 1.21,m,CL65,E59,E008_M,,delicata,A-23,A,23,0,ALIVE,2019/20,,9/1/2020,25/2/2020,,0.132,8.71,5.24,0.105,0.105,20/2/2025,0.107,17.81,22.272,40.082,NA,same tub but three separate clutches by the looks of it,47,NA,NA
19,EG167,LD630,"""3411""",Box 1.21,f,CL64,E59,E011_M,E011_M/E024_M,delicata,A-28,A,28,0,ALIVE,2019/20,,9/1/2020,5/2/2020,,0.177,8.97,5.71,0.144,0.144,20/2/2005,0.1,17.029,22.362,39.391,NA,same tub but three separate clutches by the looks of it,27,NA,NA
20,EG178,LD629,"""422(345)""",Box 1.21,f,CL67,E50,E010_M,E010_M,delicata,A-28,A,28,0,ALIVE,2019/20,,15/1/2020,5/2/2020,,0.142,7.84,5.71,0.123,0.123,20/2/2005,0.1,18.029,22.137,40.166,NA,,21,NA,NA
21,EG179,LD628,"""2345""",Box 1.21,f,CL67,E50,E009_M,E009_M,delicata,A-28,A,28,0,ALIVE,2019/20,,15/1/2020,5/2/2020,,0.187,8.18,6.54,0.17,0.17,20/2/2005,0.113,17.159,23.111,40.27,NA,,21,NA,NA
22,EG145,LD626,"""3224""",Box 1.21,f,CL55,E14,E008_M,E018_M,delicata,A-23,A,23,0,ALIVE,2019/20,,12/12/2019,26/1/2020,,0.145,7.78,5.66,0.115,0.115,20/1/2026,0.078,16.958,20.306,20.306,NA,Length data is from DSCN8991_LD625 on the 26.1.20. ,45,NA,NA
23,EG128,LD624,"""5440""",Box 1.21,m,CL49,E8,E007_M,E007_M,delicata,A-23,A,23,0,ALIVE,2019/20,,8/12/2019,22/1/2020,,0.146,7.6,5.8,0.121,0.121,20/1/2022,0.087,16.683,21.309,37.992,NA,,45,NA,NA
24,EG098,LD619,"""2022""",Box 1.21,m,CL38,E6,E010_M,E010_M,delicata,A-23,A,23,0,ALIVE,2019/20,,27/11/2019,15/1/2020,,0.123,8.29,4.83,0.096,0.096,20/1/2015,0.085,17.225,21.851,39.076,NA,eggs together,49,NA,NA
25,EG060,LD617,"""1004""",Box 1.21,f,CL029,E15,E009_M,,delicata,A-23,A,23,1,DEAD,2019/20,,24/11/2019,13/1/2020,,0.099,7.44,4.71,0.071,0.071,20/1/2013,0.062,17.106,21.284,32.437,NA,Re-did length photograph on 15.01.20 (wasn't done properly first time),50,NA,NA
26,EG146,LD608,"""4420""",Box 1.21,m,CL55,E14,E010_M,E010_M,delicata,A-28,A,28,0,ALIVE,2019/20,,12/12/2019,13/1/2020,,0.15,8.03,5.82,0.125,0.125,20/1/2013,0.07,15.718,20.719,36.437,NA,Re-did length photograph on 15.01.20 (wasn't done properly first time),32,NA,NA
27,EG064,LD601,"""1012""",Box 1.21,f,CL30,E7,E008_M,,delicata,A-23,A,23,0,ALIVE,2019/20,,24/11/2019,9/1/2020,,0.116,7.38,5.38,0.097,0.097,20/1/2009,0.076,16.403,20.261,36.664,NA,,46,NA,NA
28,EG077,LG021,NA,,m,CL33,E12,NA,,guichenoti,A-23,A,23,0,ALIVE,2019/20,,26/11/2019,16/1/2020,,0.185,8.62,5.86,0.166,0.166,20/1/2016,0.135,19.359,25.743,45.102,NA,,51,NA,NA
29,EG082,LG018,NA,,NA,CL35,E10,NA,,guichenoti,A-23,A,23,1,DEAD,2019/20,,26/11/2019,15/1/2020,,0.171,9.09,6.05,0.148,0.148,20/1/2015,0.134,18.854,25.364,44.218,NA,eggs stuck together,50,NA,NA
30,EG105,LG026,NA,,NA,CL41,E10,NA,,guichenoti,A-23,A,23,1,DEAD,2019/20,,1/12/2019,19/1/2020,,0.164,8.26,6.03,0.136,0.136,20/1/2019,0.124,18.466,22.331,40.797,NA,mostly water,49,NA,NA
31,EG135,LG035,NA,,NA,CL51,E10,NA,,guichenoti,A-23,A,23,1,DEAD,2019/20,,8/12/2019,28/1/2020,,0.172,8.79,5.89,0.146,0.146,20/1/2028,0.132,18.486,19.965,0,NA,hatched with no tail; was labelled as LG032,51,NA,NA
32,EG032,LD599,"""3120""",Box 1.21,f,CL018,E7,E007_M,E007_M,delicata,A-23,A,23,0,ALIVE,2019/20,,20/11/2019,6/1/2020,,0.115,8.82,4.91,0.096,0.096,20/1/2006,0.125,18.875,22.893,41.768,NA,,47,NA,NA
33,EG127,LD595,"""5555""",Box 1.21,m,CL49,E8,E011_M,E011_M/E024_M,delicata,A-28,A,28,0,ALIVE,2019/20,,8/12/2019,6/1/2020,,0.139,7.66,5.83,0.115,0.115,20/1/2006,0.081,17.199,22.432,39.631,NA,,29,NA,NA
34,EG027,LD594,"""5400""",Box 1.20,m,CL017,E6,E008_M,E018_M,delicata,A-23,A,23,0,ALIVE,2019/20,,20/11/2019,6/1/2020,,0.113,8.25,4.92,0.095,0.095,20/1/2006,0.09,16.538,20.217,36.755,NA,,47,NA,NA
35,EG120,LD593,"""2553""",Box 1.21,f,CL47,E14,E010_M,E010_M,delicata,A-23,A,23,0,ALIVE,2019/20,,5/12/2019,6/1/2020,,0.146,8.1,5.56,0.118,0.118,20/1/2006,0.084,17.797,22.96,40.757,NA,,32,NA,NA
36,EG100,LD583,"""2(23)01""",Box 1.21,m,CL39,E12,E011_M,E011_M/E024_M,delicata,A-28,A,28,0,ALIVE,2019/20,,27/11/2019,25/12/2019,,0.114,7.59,4.95,0.095,0.095,19/12/2025,0.069,16.229,21.104,37.333,NA,eggs together,28,NA,NA
37,EG044,LD578,"""4100""",Box 1.21,f,CL022,E7,E007_M,,delicata,A-28,A,28,0,ALIVE,2019/20,,24/11/2019,21/12/2019,,0.129,7.02,4.93,0.103,0.103,19/12/2021,0.091,17.436,20.478,37.914,NA,,27,NA,NA
39,EG001_20,LD001_20,"""4500""",Box 1.22,,CL001_20,E024_M,NA,E001_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,1/10/2020,2/11/2020,,0.134,7.6,5.67,0.115,0.115,0.141791045,0.092,16.609,23.524,40.133,NA,extraction too watery,32,NA,NA
40,EG002_20,NA,,,,CL001_20,E024_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,1/10/2020,NA,,0.145,8.63,5.45,0.13,0.13,0.103448276,NA,NA,NA,,9/10/2020,egg die; 9/10,NA,NA,NA
41,EG003_20,NA,,,,CL001_20,E024_M,NA,,delicata,A-28,A,28,1,DEAD,2020/21,,1/10/2020,NA,,0.139,8.29,5.41,0.124,0.124,0.107913669,NA,NA,NA,,6/10/2020,egg die; 6/10/20,NA,NA,NA
42,EG004_20,NA,,,,CL001_20,E024_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,1/10/2020,NA,,0.129,8.19,5.4,0.114,0.114,0.11627907,NA,NA,NA,,6/10/2020,egg die; 6/10/20,NA,NA,NA
43,EG008_20,NA,,,,CL002_20,E002_M,NA,,guichenoti,A-28,A,28,1,DEAD,2020/21,,2/10/2020,NA,,0.175,10.71,5.52,0.16,0.16,0.085714286,NA,NA,NA,,9/10/2020,egg die; 9/10/20,NA,NA,NA
44,EG009_20,LG009_20,"""4050""",Box 1.22,f,CL003_20,E018_M,NA,Ind enclosure,guichenoti,A-23,A,23,0,ALIVE,2020/21,,6/10/2020,22/11/2020,,0.259,9.82,6.96,0.236,0.236,0.088803089,0.153,20.077,27.614,47.691,NA,extraction too watery,47,NA,NA
45,EG010_20,LD010_20,"""(45)050""",Box 1.22,m,CL004_20,E028_M,NA,E002_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,8/10/2020,4/11/2020,,0.235,8.62,7.27,0.215,0.215,0.085106383,0.115,17.671,NA,NA,NA,,27,NA,NA
46,EG011_20,LD011_20,"""4400""",Box 1.22,f,CL004_20,E028_M,NA,E002_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,8/10/2020,3/11/2020,,0.218,8.18,70.3,0.202,0.202,0.073394495,0.101,18.047,NA,NA,NA,,26,NA,NA
47,EG012_20,LD012_20,"""0005""",Box 1.22,m,CL004_20,E028_M,NA,E001_F120,delicata,A-23,A,23,0,ALIVE,2020/21,,8/10/2020,18/11/2020,,0.194,8.1,6.72,0.18,0.18,0.072164948,0.106,17.234,22.14,39.374,NA,,41,NA,NA
48,EG015_20,NA,,,,CL005_20,E010_M,NA,,delicata,A-28,A,28,1,DEAD,2020/21,,12/10/2020,NA,,0.148,9.37,5.19,0.139,0.139,0.060810811,NA,NA,NA,,15/1/2021,egg died 15/1/21; full embryo,NA,NA,NA
49,EG016_20,NA,,,,CL005_20,E010_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,12/10/2020,NA,,0.125,8.56,5.01,0.112,0.112,0.104,NA,NA,NA,,18/11/2021,egg die 18/11,NA,NA,NA
50,EG019_20,LG019_20,,Box 1.22,,CL006_20,E001_M,NA,,guichenoti,A-23,A,23,1,DEAD,2020/21,,14/10/2020,2/12/2020,,0.266,9.89,6.99,0.249,0.249,0.063909774,0.164,21.951,27.436,49.387,NA,,49,NA,NA
51,EG021_20,LD021_20,"""4003""",Box 1.24,,CL007_20,E009_M,NA,E013_F120,delicata,A-23,A,23,0,ALIVE,2020/21,,16/10/2020,1/12/2020,,0.209,8.31,6.85,0.192,0.192,0.081339713,0.134,19.015,25.873,44.888,NA,a bit watery,46,NA,NA
52,EG022_20,LD022_20,"""5005""",Box 1.22,,CL007_20,E009_M,NA,E001_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,16/10/2020,14/11/2020,,0.172,8.44,6.12,0.155,0.155,0.098837209,0.115,18.291,23.032,41.323,NA,,29,NA,NA
53,EG024_20,NA,,,,CL008_20,E016_M,NA,,delicata,A-28,A,28,1,DEAD,2020/21,,18/10/2020,NA,,0.112,8.64,4.78,0.104,0.104,0.071428571,NA,NA,NA,,NA,"most likely dead, quite yellow but no fungus - 22/10/20 (Eoin)",NA,NA,NA
54,EG025_20,NA,,,,CL008_20,E016_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,18/10/2020,NA,,0.105,8.73,4.67,0.088,0.088,0.161904762,NA,NA,NA,,19/11/2020,egg die 19/11,NA,NA,NA
55,EG028_20,LG028_20,"""(All)(All)0(34)""",Box 1.23,f,CL009_20,E006_M,NA,Ind enclosure,guichenoti,A-23,A,23,0,ALIVE,2020/21,,18/10/2020,7/12/2020,,0.225,9.75,6.51,0.207,0.207,0.08,0.149,NA,NA,,NA,started using insulin syringes again after this egg. All eggs after this have insulin,50,NA,NA
57,EG033_20,LG033_20,"""(245)54(25)""",Box 1.22,m,CL011_20,E005_M,NA,E003_F120,guichenoti,A-28,A,28,0,ALIVE,2020/21,,20/10/2020,22/11/2020,,0.192,9.12,6.05,0.182,0.182,0.052083333,0.148,20.189,25.198,45.387,NA,,33,NA,NA
